PING 34.94.6.178 (34.94.6.178) 56(84) bytes of data.
64 bytes from 34.94.6.178: icmp_seq=325 ttl=61 time=3.04 ms
64 bytes from 34.94.6.178: icmp_seq=326 ttl=61 time=3.52 ms
64 bytes from 34.94.6.178: icmp_seq=327 ttl=61 time=2.82 ms
64 bytes from 34.94.6.178: icmp_seq=328 ttl=61 time=2.65 ms
64 bytes from 34.94.6.178: icmp_seq=329 ttl=61 time=4.19 ms
64 bytes from 34.94.6.178: icmp_seq=330 ttl=61 time=2.89 ms
64 bytes from 34.94.6.178: icmp_seq=331 ttl=61 time=2.41 ms
64 bytes from 34.94.6.178: icmp_seq=332 ttl=61 time=2.44 ms
64 bytes from 34.94.6.178: icmp_seq=333 ttl=61 time=2.79 ms
64 bytes from 34.94.6.178: icmp_seq=334 ttl=61 time=2.49 ms
64 bytes from 34.94.6.178: icmp_seq=335 ttl=61 time=2.88 ms
64 bytes from 34.94.6.178: icmp_seq=336 ttl=61 time=3.28 ms
64 bytes from 34.94.6.178: icmp_seq=337 ttl=61 time=3.36 ms
64 bytes from 34.94.6.178: icmp_seq=338 ttl=61 time=3.16 ms
64 bytes from 34.94.6.178: icmp_seq=339 ttl=61 time=2.56 ms
64 bytes from 34.94.6.178: icmp_seq=340 ttl=61 time=3.50 ms
64 bytes from 34.94.6.178: icmp_seq=341 ttl=61 time=2.77 ms
64 bytes from 34.94.6.178: icmp_seq=342 ttl=61 time=4.14 ms
64 bytes from 34.94.6.178: icmp_seq=343 ttl=61 time=3.00 ms
64 bytes from 34.94.6.178: icmp_seq=344 ttl=61 time=2.59 ms
64 bytes from 34.94.6.178: icmp_seq=345 ttl=61 time=2.80 ms
64 bytes from 34.94.6.178: icmp_seq=346 ttl=61 time=2.74 ms
64 bytes from 34.94.6.178: icmp_seq=347 ttl=61 time=2.21 ms
64 bytes from 34.94.6.178: icmp_seq=348 ttl=61 time=2.59 ms
64 bytes from 34.94.6.178: icmp_seq=349 ttl=61 time=2.92 ms
64 bytes from 34.94.6.178: icmp_seq=350 ttl=61 time=2.50 ms
64 bytes from 34.94.6.178: icmp_seq=351 ttl=61 time=3.15 ms
64 bytes from 34.94.6.178: icmp_seq=352 ttl=61 time=2.60 ms
64 bytes from 34.94.6.178: icmp_seq=353 ttl=61 time=3.16 ms
64 bytes from 34.94.6.178: icmp_seq=354 ttl=61 time=3.17 ms
